,Country_x,ISO,cumulative_emissions_2024,Income Group
0,Afghanistan,AFG,611707800.0,L
1,Albania,ALB,548291700.0,UM
2,Algeria,DZA,6544149500.0,UM
3,Andorra,AND,17131472.0,H
4,Angola,AGO,5374209000.0,LM
5,Antigua and Barbuda,ATG,17828916.0,H
6,Argentina,ARG,23021918000.0,UM
7,Armenia,ARM,512608930.0,UM
8,Australia,AUS,34012735000.0,H
9,Austria,AUT,5969547000.0,H
10,Azerbaijan,AZE,3227686100.0,UM
11,Bahamas,BHS,182773280.0,H
12,Bahrain,BHR,1112201000.0,H
13,Bangladesh,BGD,3716555800.0,LM
14,Barbados,BRB,64108000.0,H
15,Belarus,BLR,10072118000.0,UM
16,Belgium,BEL,13181008000.0,H
17,Belize,BLZ,375246100.0,UM
18,Benin,BEN,1744436900.0,LM
19,Bhutan,BTN,697166500.0,LM
20,Bolivia,BOL,7595994600.0,LM
21,Bosnia and Herzegovina,BIH,1271659300.0,UM
22,Botswana,BWA,295973760.0,UM
23,Brazil,BRA,139444300000.0,UM
24,Brunei,BRN,515559500.0,H
25,Bulgaria,BGR,4990108000.0,H
26,Burkina Faso,BFA,1352617000.0,L
27,Burundi,BDI,327330340.0,L
28,Cambodia,KHM,3511237600.0,LM
29,Cameroon,CMR,2925904600.0,LM
30,Canada,CAN,76041890000.0,H
31,Cape Verde,CPV,21047956.0,UM
32,Central African Republic,CAF,755866100.0,L
33,Chad,TCD,804151550.0,L
34,Chile,CHL,7816921600.0,H
35,China,CHN,359646920000.0,UM
36,Colombia,COL,24334633000.0,UM
37,Comoros,COM,13790334.0,LM
38,Congo,COG,1881964900.0,LM
39,Costa Rica,CRI,2485695700.0,H
40,Cote d'Ivoire,CIV,10430467000.0,LM
41,Croatia,HRV,1843123800.0,H
42,Cuba,CUB,5795804000.0,UM
43,Cyprus,CYP,271717920.0,H
44,Czechia,CZE,12006457000.0,H
45,Democratic Republic of Congo,COD,26035694000.0,L
46,Denmark,DNK,5573946400.0,H
47,Djibouti,DJI,27192734.0,LM
48,Dominica,DMA,3613713.2,UM
49,Dominican Republic,DOM,2468289800.0,UM
50,East Timor,TLS,121302904.0,LM
51,Ecuador,ECU,5814551600.0,UM
52,Egypt,EGY,7805938700.0,LM
53,El Salvador,SLV,861455700.0,UM
54,Equatorial Guinea,GNQ,133574640.0,UM
55,Eritrea,ERI,160029500.0,L
56,Estonia,EST,1800002600.0,H
57,Eswatini,SWZ,189937360.0,LM
58,Ethiopia,ETH,7353446400.0,
59,Fiji,FJI,98946730.0,UM
60,Finland,FIN,6765904000.0,H
61,France,FRA,35808760000.0,H
62,Gabon,GAB,1071790200.0,UM
63,Gambia,GMB,73955100.0,L
64,Georgia,GEO,233480800.0,UM
65,Germany,DEU,94907510000.0,H
66,Ghana,GHA,2687876900.0,LM
67,Greece,GRC,5287402500.0,H
68,Grenada,GRD,6123011.5,UM
69,Guatemala,GTM,4514235000.0,UM
70,Guinea,GIN,2803080200.0,LM
71,Guinea-Bissau,GNB,238993780.0,L
72,Guyana,GUY,624342460.0,H
73,Haiti,HTI,815293700.0,LM
74,Honduras,HND,3583084800.0,LM
75,Hungary,HUN,5758358500.0,H
76,Iceland,ISL,274576420.0,H
77,India,IND,105592530000.0,LM
78,Indonesia,IDN,86936610000.0,UM
79,Iran,IRN,23454724000.0,UM
80,Iraq,IRQ,5844444000.0,UM
81,Ireland,IRL,2545947100.0,H
82,Israel,ISR,2648492800.0,H
83,Italy,ITA,26140310000.0,H
84,Jamaica,JAM,658866000.0,UM
85,Japan,JPN,74886640000.0,H
86,Jordan,JOR,857614400.0,LM
87,Kazakhstan,KAZ,18967292000.0,UM
88,Kenya,KEN,3192033500.0,LM
89,Kiribati,KIR,2329151.0,LM
90,Kuwait,KWT,3875929900.0,H
91,Kyrgyzstan,KGZ,1245739500.0,LM
92,Laos,LAO,2639207000.0,LM
93,Latvia,LVA,1838996100.0,H
94,Lebanon,LBN,805765250.0,LM
95,Lesotho,LSO,196160290.0,LM
96,Liberia,LBR,1113558400.0,L
97,Libya,LBY,2550426000.0,UM
98,Liechtenstein,LIE,9380272.0,H
99,Lithuania,LTU,2866290700.0,H
100,Luxembourg,LUX,776031940.0,H
101,Madagascar,MDG,5198355000.0,L
102,Malawi,MWI,1186420900.0,L
103,Malaysia,MYS,20000150000.0,UM
104,Maldives,MDV,33656900.0,UM
105,Mali,MLI,1729982600.0,L
106,Malta,MLT,106156504.0,H
107,Marshall Islands,MHL,4008370.0,UM
108,Mauritania,MRT,143660880.0,LM
109,Mauritius,MUS,136503680.0,UM
110,Mexico,MEX,36005910000.0,UM
111,Micronesia (country),FSM,4858168.0,LM
112,Moldova,MDA,1435493800.0,UM
113,Mongolia,MNG,2076162200.0,UM
114,Montenegro,MNE,220352080.0,UM
115,Morocco,MAR,3543100200.0,LM
116,Mozambique,MOZ,4654248000.0,L
117,Myanmar,MMR,9119754000.0,LM
118,Namibia,NAM,219849800.0,LM
119,Nauru,NRU,5074183.0,H
120,Nepal,NPL,1625845000.0,LM
121,Netherlands,NLD,13325155000.0,H
122,New Zealand,NZL,5134637600.0,H
123,Nicaragua,NIC,4525616000.0,LM
124,Niger,NER,1336058000.0,L
125,Nigeria,NGA,15858661000.0,LM
126,North Korea,PRK,7021745000.0,L
127,North Macedonia,MKD,945818800.0,UM
128,Norway,NOR,3832950500.0,H
129,Oman,OMN,1678531300.0,H
130,Pakistan,PAK,7749273000.0,LM
131,Palau,PLW,11398727.0,H
132,Palestine,PSE,76707790.0,LM
133,Panama,PAN,2478871000.0,H
134,Papua New Guinea,PNG,1764310800.0,LM
135,Paraguay,PRY,4042088700.0,UM
136,Peru,PER,7986045400.0,UM
137,Philippines,PHL,15282421000.0,LM
138,Poland,POL,29419522000.0,H
139,Portugal,PRT,3196389400.0,H
140,Qatar,QAT,2592198700.0,H
141,Romania,ROU,11851871000.0,H
142,Russia,RUS,227020620000.0,H
143,Rwanda,RWA,410776860.0,L
144,Saint Kitts and Nevis,KNA,4375583.0,H
145,Saint Lucia,LCA,15853405.0,UM
146,Saint Vincent and the Grenadines,VCT,9367711.0,UM
147,Samoa,WSM,14554110.0,UM
148,Sao Tome and Principe,STP,-410256.25,LM
149,Saudi Arabia,SAU,19206339000.0,H
150,Senegal,SEN,764943500.0,LM
151,Serbia,SRB,3374983000.0,UM
152,Seychelles,SYC,16113488.0,H
153,Sierra Leone,SLE,1332726800.0,L
154,Singapore,SGP,2253547000.0,H
155,Slovakia,SVK,4528093700.0,H
156,Slovenia,SVN,1215836800.0,H
157,Solomon Islands,SLB,208666020.0,LM
158,Somalia,SOM,1126774800.0,L
159,South Africa,ZAF,29695523000.0,UM
160,South Korea,KOR,20972070000.0,H
161,South Sudan,SSD,1656513500.0,L
162,Spain,ESP,17728500000.0,H
163,Sri Lanka,LKA,2245985300.0,LM
164,Sudan,SDN,2696176000.0,L
165,Suriname,SUR,259324050.0,UM
166,Sweden,SWE,7555962000.0,H
167,Switzerland,CHE,3413797600.0,H
168,Syria,SYR,2480463000.0,L
169,Tajikistan,TJK,640888200.0,LM
170,Tanzania,TZA,7593550000.0,LM
171,Thailand,THA,25176127000.0,UM
172,Togo,TGO,697511200.0,L
173,Tonga,TON,7769304.0,UM
174,Trinidad and Tobago,TTO,1696765600.0,H
175,Tunisia,TUN,1438670000.0,LM
176,Turkey,TUR,19524532000.0,UM
177,Turkmenistan,TKM,2923369500.0,UM
178,Tuvalu,TUV,297180.0,UM
179,Uganda,UGA,2339345400.0,L
180,Ukraine,UKR,44320210000.0,UM
181,United Arab Emirates,ARE,5825851000.0,H
182,United Kingdom,GBR,79771935000.0,H
183,United States,USA,560542000000.0,H
184,Uruguay,URY,1032708800.0,H
185,Uzbekistan,UZB,7137678300.0,LM
186,Vanuatu,VUT,90283820.0,LM
187,Venezuela,VEN,13404175000.0,
188,Vietnam,VNM,14823627000.0,LM
189,Yemen,YEM,744745150.0,L
190,Zambia,ZMB,5011349500.0,LM
191,Zimbabwe,ZWE,2934447600.0,LM
